Query,Intent,Aggregation,Paid Status,split
How much did we spend on original cost Last quarter?,Expense,Total,None,train
"today, how many soil did I sell?",Invoice,Count,None,train
Show all transactions with sonnenschein family store,Invoice,Count,None,train
What was our total income from gevelber photography in This quarter?,Sales,Total,None,train
Display all of weiskopf consulting's transactions,Invoice,Count,None,test
"Since This month, how many invoices have been past due?",Invoice,Count,FALSE,train
"As of This week to date, what was our net income?",Sales,Total,None,train
What was our Net Income as of This quarter to date?,Sales,Total,None,train
How much credit does sushi by katsuyuki have Last 7 days?,Sales,Total,FALSE,train
How much we received from uncategorized asset in today?,Invoice,Total,None,train
When was the last time we billed for maintenance,Invoice,Max,None,test
What has 0969 ocean view road paid us so far Last year?,Sales,Total,TRUE,train
What has travis waldron paid us so far Last month?,Sales,Total,TRUE,train
How much money did we make This fiscal year?,Sales,Total,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
What is my first invoice from national eye care?,Bill,Min,None,test
"In the Last 7 days, what has been my first revenue from paulsen medical supply?",Sales,Min,None,test
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
"This fiscal year, how many pest control did I sell?",Invoice,Count,None,train
What was our smallest expense Last quarter?,Expense,Min,None,train
How many trimming did I sell yesterday?,Invoice,Count,None,train
What was the total of our net expenses?,Expense,Total,None,train
What was our greatest expense This fiscal year to date?,Expense,Max,None,test
How many invoices have we sent to dylan sollfrank?,Invoice,Count,None,test
Show all of sushi by katsuyuki's transactions,Invoice,Count,None,train
"Last 7 days, how much did we pay united state treasury?",Expense,Total,TRUE,train
How much we received from visa in today?,Invoice,Total,None,train
Display all transactions involving geeta kalapatapu,Invoice,Count,None,test
How many duke basketball camp invoices haven't been paid yet?,Invoice,Count,FALSE,train
How much did we spend on fountain and garden lighting Last 12 months?,Expense,Total,None,train
When did dylan sollfrank last pay?,Invoice,Max,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
What was the max invoice amount for job materials in This year?,Sales,Max,None,train
"Last fiscal year, what was our smallest expense?",Expense,Min,None,train
What are my AR Last year?,Account Receivables,Total,None,train
How much money did we make Last month?,Sales,Total,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
Show all of john melton's transactions,Invoice,Count,None,train
How much did we spend on cigna health care in This year to date?,Expense,Total,TRUE,train
"Since This month, how many invoices have been late?",Invoice,Count,FALSE,train
"Last 30 days, how many hours did I sell?",Invoice,Count,None,train
How much money did we make This month?,Sales,Total,None,train
When did john melton last pay?,Invoice,Max,None,train
When did dukes basketball camp last pay?,Invoice,Max,None,train
How much money have we paid to tania's nursery This year?,Expense,Total,TRUE,train
What is my last sales for red rock diner in the Last quarter?,Sales,Max,None,test
"Last fiscal year, how much has 0969 ocean view road paid us?",Sales,Total,TRUE,test
How much credit does john melton have This week,Sales,Total,FALSE,test
Whats our monthly spend on hick hardware?,Expense,Total,None,train
How much did I spend yesterday?,Expense,Total,None,train
How much we received from disposal fees in This month to date?,Invoice,Total,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
Number of invoices created for decks and patios in This year?,Invoice,Count,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
What was the total invoice I received from bob's burger joint?,Bill,Total,None,test
How much we received from note payable in Last year?,Invoice,Total,None,train
What was our total spend for pam seitz in the This quarter to date?,Expense,Total,None,train
What's the total number of invoices we've issued sonnenschein family store?,Invoice,Count,None,train
What are my expenses for the This month to date?,Expense,Total,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
Show all transactions with rago travel agency,Invoice,Count,None,train
What was the total of our net expenses?,Expense,Total,None,train
"This fiscal year, what are my account receivable?",Account Receivables,Total,None,train
Display all transactions involving bill's windsurf shop,Invoice,Count,None,test
"In the Last fiscal year, how many services did I sell?",Invoice,Count,None,train
What are my min sales by department?,Sales,Min,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
When was the first time shara barnett paid you?,Invoice,Min,TRUE,train
What are my account payable This quarter?,Account Payable,Total,None,test
How much we received from building repairs in Last 30 days?,Invoice,Total,None,train
"This week, how much did we pay united states treasury?",Expense,Total,TRUE,train
How many invoices were paid This year?,Invoice,Count,TRUE,train
"today, what was our largest expense?",Expense,Max,None,train
"In the Last 30 days, how many rock fountain did I sell?",Invoice,Count,None,train
Show all transactions with barnett design,Invoice,Count,None,train
What was our smallest expense This week?,Expense,Min,None,train
How many invoices were paid This fiscal year to date?,Invoice,Count,TRUE,train
How much revenue came through sushi by katsuyuki last month?,Sales,Total,None,train
What was the most recent invoice for refunds & allowances?,Invoice,Max,None,train
Display the total number of transactions with 0969 ocean view road,Invoice,Count,None,train
What was our Net Expenses?,Expense,Total,None,train
"Last year, how many invoices have been paid?",Invoice,Count,TRUE,train
"Last 30 days, how many invoices were paid?",Invoice,Count,TRUE,train
"This month to date, how many sprinkler pipe did I sell?",Invoice,Count,None,train
When was geeta kalapatapu last payment?,Invoice,Max,TRUE,train
How much money have we paid to diego's road warrior bodyshop today?,Expense,Total,TRUE,train
Who has the lowest money outstanding?,Invoice,Min,None,test
What are my AR Last 12 months?,Account Receivables,Total,None,train
What are my expenses for the This quarter to date?,Expense,Total,None,train
Display all of kookies by kathy's transactions,Invoice,Count,None,test
What are my account receivable Last 30 days?,Account Receivables,Total,None,train
When did pye's cake first pay?,Invoice,Min,None,train
What is the balance owed by paulsen medical supply?,Sales,Total,FALSE,test
What is my max bill for chin's gas and oil?,Bill,Max,None,train
How much credit does amy's bird sanctuary have Last 7 days,Sales,Total,FALSE,test
How many Adobe subscriptions do we have?,Expense,Count,None,train
What was the max invoice amount for computer repair?,Sales,Max,None,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
How many pest control did I sell Last month?,Invoice,Count,None,train
What is rondonuwu fruit and vegi credit for Last 12 months?,Sales,Total,FALSE,train
What was the average invoice amount for travel meal in This fiscal year to date?,Sales,Average,None,train
How much has geeta kalapatapu been paying us each month?,Sales,Total,None,train
When did 55 twin lane last pay?,Invoice,Max,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
What are my account payable This month to date?,Account Payable,Total,None,test
What was the max bill I received from edd?,Bill,Max,None,train
How much did we pay tania's nursery the Last month?,Expense,Total,TRUE,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
What was our greatest expense This month?,Expense,Max,None,test
How much we received from insurance?,Invoice,Total,None,train
What was the total of our net expenses?,Expense,Total,None,train
What is the balance due from 55 twin lane?,Sales,Total,FALSE,test
"This year, what are my AP?",Account Payable,Total,None,test
How much we received from notes payable?,Invoice,Total,None,train
"Last quarter, what are my account payable?",Account Payable,Total,None,test
What is the balance due from 0969 ocean view road?,Sales,Total,FALSE,test
Show how many transactions you've had with barnett design,Invoice,Count,None,test
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
What has red rock diner paid us so far Last 7 days?,Sales,Total,TRUE,train
What's the average contract size for the Sales team?,Sales,Average,None,train
How much credit does red rock diner have This week to date,Sales,Total,FALSE,test
What are my min sales by customer?,Sales,Min,None,train
Show all of freeman sporting good's transactions,Invoice,Count,None,train
What were our total payroll expenses This fiscal year?,Expense,Total,None,train
What's the total number of invoices we've issued to barnett design?,Invoice,Count,None,train
How many invoices are past due since This month to date?,Invoice,Count,FALSE,train
"As of today, what was our net income?",Sales,Total,None,train
pye's cake has received how many invoices?,Invoice,Count,None,train
How much did we pay norton lumber and building material the This month?,Expense,Total,TRUE,train
What was the min invoice I received from lee advertising?,Bill,Min,None,test
Display the total number of transactions with video game by dan,Invoice,Count,None,train
"As of Last 30 days, how many invoices for kookies by kathy were still outstanding?",Invoice,Count,FALSE,test
How much did we pay united state treasury the Last 7 days?,Expense,Total,TRUE,train
Whats our monthly spend on chin's gas and oil?,Expense,Total,None,train
What was our smallest expense This month to date?,Expense,Min,None,train
How much money does shara barnett still owe?,Sales,Total,FALSE,train
How much did I spend Last month?,Expense,Total,None,train
What is my mean bill for tania's nursery?,Bill,Average,None,train
What was our total spend for tim philip masonry in the Last quarter?,Expense,Total,None,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
"As of This month to date, how many invoices for bill's windsurf shop were still unpaid?",Invoice,Count,FALSE,train
How much money did we make This week?,Sales,Total,None,train
What is my last revenue for sonnenschein family store in the today?,Sales,Max,None,train
Number of invoices created for mastercard?,Invoice,Count,None,train
How much did we spend on book by bessie in This quarter to date?,Expense,Total,TRUE,train
"This month to date, what was our smallest expense?",Expense,Min,None,train
How much have we been spending on job materials?,Expense,Total,None,train
What was our biggest expense This year to date?,Expense,Max,None,train
What was the min bill I received from cal telephone?,Bill,Min,None,train
"Since This fiscal year to date, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
How many invoices are past due since This fiscal year?,Invoice,Count,FALSE,train
What are my account payable This month?,Account Payable,Total,None,test
How many invoices have we sent to duke basketball camp?,Invoice,Count,None,test
Display all transactions involving paulsen medical supplies,Invoice,Count,None,test
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
"today, what are my account payable?",Account Payable,Total,None,test
How much we received from miscellaneous in Last month?,Invoice,Total,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
What was the total of our net expenses?,Expense,Total,None,train
What are my average sales by customer?,Sales,Average,None,train
What are my account payable This fiscal year to date?,Account Payable,Total,None,test
What's the average contract size for the Sales team?,Sales,Average,None,train
What is dylan sollfrank credit for Last fiscal year?,Sales,Total,FALSE,train
What was the lowest invoice amount for equipment rental?,Sales,Min,None,train
What was the max invoice amount for bank charges?,Sales,Max,None,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What was the total of our net expenses?,Expense,Total,None,train
"Since Last fiscal year, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
Whats our monthly spend on brosnahan insurance agency?,Expense,Total,None,train
What are my account payable Last 7 days?,Account Payable,Total,None,test
"In the This quarter, how many rock fountain did I sell?",Invoice,Count,None,train
"Since Last year, how many invoices have been late?",Invoice,Count,FALSE,train
What was the highest invoice amount for truck in Last 30 days?,Sales,Max,None,train
"As of Last year, what was our net income?",Sales,Total,None,train
"Last 30 days, what are my AR?",Account Receivables,Total,None,test
What is my last bill for mahoney mugs?,Bill,Max,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
Show all transactions with amy's bird sanctuary,Invoice,Count,None,train
What is the balance due from barnett design?,Sales,Total,FALSE,test
What was the min bill I received from lee advertising?,Bill,Min,None,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
When did video games by dan last pay?,Invoice,Max,None,train
What was our smallest expense This fiscal year to date?,Expense,Min,None,train
What was the most recent invoice for gardening?,Invoice,Max,None,train
When was the last time we billed for service,Invoice,Max,None,test
"This fiscal year, what are my AP?",Account Payable,Total,None,test
What was our Net Income as of This year?,Sales,Total,None,train
"This year to date, what are my AP?",Account Payable,Total,None,test
When did rago travel agency last pay?,Invoice,Max,None,train
How much we received from office expense?,Invoice,Total,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How much has amy's bird sanctuary been paying us each month?,Sales,Total,None,train
What was the average invoice I received from computer by jenni?,Bill,Average,None,test
What's the total number of invoices we've issued jeff's jalopies?,Invoice,Count,None,train
How many bill's windsurf shop invoices have yet to be paid?,Invoice,Count,FALSE,test
"Since This month, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What is my lowest bill for robertson & associates?,Bill,Min,None,train
How much credit does sushi by katsuyuki have This month?,Sales,Total,FALSE,train
Number of invoices created for travel?,Invoice,Count,None,train
Show all transactions with duke basketball camp,Invoice,Count,None,train
What are my expenses for the This week?,Expense,Total,None,train
What was our smallest expense today?,Expense,Min,None,train
How many invoices have we sent to weiskopf consulting?,Invoice,Count,None,test
What's the total number of invoices we've issued to video games by dan?,Invoice,Count,None,train
How much did we pay robertson & associates the yesterday?,Expense,Total,TRUE,train
When was the first time we billed for design,Invoice,Min,None,train
amy's bird sanctuary has received how many invoices?,Invoice,Count,None,train
How much has cool car paid us Last quarter?,Sales,Total,TRUE,train
What was our total income from rondonuwu fruit and vegi in Last 7 days?,Sales,Total,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
What were my expenses in the This month to date?,Expense,Total,None,train
What was the min invoice amount for sprinkler head?,Sales,Min,None,train
How many red rock diner invoices are still outstanding?,Invoice,Count,FALSE,test
How much credit does paulsen medical supply have Last month?,Sales,Total,FALSE,train
What was the most recent invoice for gardening?,Invoice,Max,None,train
When was john melton first payment?,Invoice,Min,TRUE,train
What is my total sales for kate whelan in the This fiscal year?,Sales,Total,None,test
What were my outgoings during the yesterday?,Expense,Total,None,train
When did rago travel agency first pay?,Invoice,Min,None,train
What was our smallest expense Last quarter?,Expense,Min,None,train
Whats our monthly spend on pg&e?,Expense,Total,None,train
When was jeff's jalopy first payment?,Invoice,Min,TRUE,train
What was the total invoice amount for office expenses?,Sales,Total,None,train
How much credit does sushi by katsuyuki have This week to date,Sales,Total,FALSE,test
What is dylan sollfrank credit for Last 7 days?,Sales,Total,FALSE,train
What was the total of our net expenses?,Expense,Total,None,train
Show all of rago travel agency's transactions,Invoice,Count,None,train
What are my AR Last 7 days?,Account Receivables,Total,None,train
When was the last time we billed for design,Invoice,Max,None,test
Number of invoices created for penalty & settlement in This week to date?,Invoice,Count,None,train
Display the total number of transactions with john melton,Invoice,Count,None,train
What is my total revenue for gevelber photography in the This fiscal year to date?,Sales,Total,None,train
What was the total of our net expenses?,Expense,Total,None,train
How much we received from rent or lease in This month?,Invoice,Total,None,train
How much has video game by dan paid us yesterday?,Sales,Total,TRUE,train
"In the Last quarter, how many service did I sell?",Invoice,Count,None,train
How many invoices are past due since Last quarter?,Invoice,Count,FALSE,train
How much we received from supply in This week to date?,Invoice,Total,None,train
Number of invoices created for original cost in Last fiscal year?,Invoice,Count,None,train
"This year, what are my AP?",Account Payable,Total,None,test
What was the total of our net expenses?,Expense,Total,None,train
How much money did we make today?,Sales,Total,None,train
"Since This year to date, how many invoices have been past due?",Invoice,Count,FALSE,train
Who has the lowest money outstanding?,Invoice,Min,None,test
"today, how many gardening did I sell?",Invoice,Count,None,train
What was our greatest expense yesterday?,Expense,Max,None,test
What were our total payroll expenses today?,Expense,Total,None,train
How much credit does duke basketball camp have This fiscal year to date?,Sales,Total,FALSE,train
What was our biggest expense Last quarter?,Expense,Max,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
What was our smallest expense yesterday?,Expense,Min,None,train
How much we received from labor?,Invoice,Total,None,train
"In the This quarter to date, how many soil did I sell?",Invoice,Count,None,train
How much did I spend yesterday?,Expense,Total,None,train
"This quarter, what are my AR?",Account Receivables,Total,None,test
"As of yesterday, how many invoices for paulsen medical supply were still unpaid?",Invoice,Count,FALSE,train
How much did we spend on miscellaneous Last quarter?,Expense,Total,None,train
What was our total spend for hall properties in the This fiscal year?,Expense,Total,None,train
What are my AP Last year?,Account Payable,Total,None,train
What are my AR This year?,Account Receivables,Total,None,train
What's the total number of invoices we've issued geeta kalapatapu?,Invoice,Count,None,train
"This month, what are my AR?",Account Receivables,Total,None,test
How much did we spend on national eye care in This month?,Expense,Total,TRUE,train
How much credit does pye's cake have This week?,Sales,Total,FALSE,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What was our Net Income as of This week?,Sales,Total,None,train
How many red rock diner invoices have yet to be paid?,Invoice,Count,FALSE,test
How much money have we paid to squeaky kleen car wash Last 30 days?,Expense,Total,TRUE,train
When was paulsen medical supply first payment?,Invoice,Min,TRUE,train
What is video games by dan credit for today?,Sales,Total,FALSE,train
How many invoices have we sent to diego rodriguez?,Invoice,Count,None,test
"Last 12 months, how many concrete did I sell?",Invoice,Count,None,train
How many paulsen medical supplies invoices have yet to be paid?,Invoice,Count,FALSE,test
What are my account receivable This quarter?,Account Receivables,Total,None,train
Number of invoices created for sprinklers and drip systems in Last year?,Invoice,Count,None,train
"This fiscal year to date, what are my AP?",Account Payable,Total,None,test
How many invoices are past due since This quarter?,Invoice,Count,FALSE,train
What is my max invoice from cigna health care?,Bill,Max,None,test
Who are my outstanding creditors?,Invoice,List,FALSE,test
What was the total bill I received from cal telephone?,Bill,Total,None,train
What was the first invoice amount for maintenance?,Sales,Min,None,train
How much money does amy's bird sanctuary still owe?,Sales,Total,FALSE,train
Display all transactions involving paulsen medical supplies,Invoice,Count,None,test
"As of Last year, how many invoices for sonnenschein family store were still unpaid?",Invoice,Count,FALSE,train
What are my AP Last 30 days?,Account Payable,Total,None,train
How much did we pay brosnahan insurance agency the This week to date?,Expense,Total,TRUE,train
What was the lowest invoice amount for original cost?,Sales,Min,None,train
"In the Last quarter, what has been my highest sales from jeff's jalopy?",Sales,Max,None,train
What are my account receivable Last month?,Account Receivables,Total,None,train
Show how many transactions you've had with amy's bird sanctuary,Invoice,Count,None,test
Display the total number of transactions with kookies by kathy,Invoice,Count,None,train
What is sonnenschein family store credit for today?,Sales,Total,FALSE,train
"In the This week to date, what has been my average sales from sonnenschein family store?",Sales,Average,None,train
What were our total payroll expenses Last year?,Expense,Total,None,train
"In the This fiscal year to date, what has been my last revenue from gevelber photography?",Sales,Max,None,test
"This month, how many lighting did I sell?",Invoice,Count,None,train
What was the average invoice amount for uncategorized asset in today?,Sales,Average,None,train
"Last year, how many invoices were paid?",Invoice,Count,TRUE,train
How many installation did I sell This quarter to date?,Invoice,Count,None,train
How much has wedding planning by whitney been paying us each month?,Sales,Total,None,train
"This week, what are my AP?",Account Payable,Total,None,test
Number of invoices created for plants and soil?,Invoice,Count,None,train
What is john melton credit for today?,Sales,Total,FALSE,train
What was our total spend for edd in the Last 7 days?,Expense,Total,None,train
What was the last invoice I received from mahoney mugs?,Bill,Max,None,test
What is kookies by kathy credit for yesterday?,Sales,Total,FALSE,train
"As of This year, how many invoices for sonnenschein family store remained unpaid?",Invoice,Count,FALSE,train
What was our total spend for robertson & associate in the This quarter?,Expense,Total,None,train
When did freeman sporting goods first pay?,Invoice,Min,None,train
Number of invoices created for insurance in This fiscal year?,Invoice,Count,None,train
"This quarter to date, what are my AR?",Account Receivables,Total,None,test
When did 0969 ocean view road first pay?,Invoice,Min,None,train
"As of This week, how many invoices for duke basketball camp were still unpaid?",Invoice,Count,FALSE,train
What was the total invoice amount for rago travel agency?,Sales,Total,None,train
How many invoices have we sent to amy's bird sanctuary?,Invoice,Count,None,test
What is the balance due from travis waldron?,Sales,Total,FALSE,test
What was the first invoice for rocks?,Invoice,Min,None,train
What were our total payroll expenses today?,Expense,Total,None,train
What are my AP Last month?,Account Payable,Total,None,train
How much did we spend on book by bessie in This year?,Expense,Total,TRUE,train
What is my first revenue for rondonuwu fruit and vegi in the Last year?,Sales,Min,None,train
How many travis waldron invoices haven't been paid yet?,Invoice,Count,FALSE,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
Show all of rondonuwu fruit and vegi's transactions,Invoice,Count,None,train
What are my account payable This quarter to date?,Account Payable,Total,None,test
How many Adobe subscriptions do we have?,Expense,Count,None,train
How much have we been spending on printing?,Expense,Total,None,train
How much money have we paid to computer by jenni This week to date?,Expense,Total,TRUE,train
What was the first invoice amount for opening balance equity in Last quarter?,Sales,Min,None,train
What's the total number of invoices we've issued weiskopf consulting?,Invoice,Count,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
What is my average revenue for kookies by kathy in the Last month?,Sales,Average,None,train
How much we received from utilities in This year to date?,Invoice,Total,None,train
What's the total number of invoices we've issued to barnett design?,Invoice,Count,None,train
Show how many transactions you've had with dukes basketball camp,Invoice,Count,None,test
What's the total number of invoices we've issued to sushi by katsuyuki?,Invoice,Count,None,train
How much did we spend on landscaping services today?,Expense,Total,None,train
"yesterday, how much has video game by dan paid us?",Sales,Total,TRUE,test
What is my last revenue for paulsen medical supply in the This quarter?,Sales,Max,None,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
How many design did I sell This week?,Invoice,Count,None,train
How much we received from equipment rental in today?,Invoice,Total,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
What were our total payroll expenses This month to date?,Expense,Total,None,train
How many barnett design invoices have yet to be paid?,Invoice,Count,FALSE,test
When did sushi by katsuyuki last pay?,Invoice,Max,None,train
What was the most recent invoice for concrete?,Invoice,Max,None,train
Whats our monthly spend on fidelity?,Expense,Total,None,train
When was kate whelan last payment?,Invoice,Max,TRUE,train
What are my account receivable Last quarter?,Account Receivables,Total,None,train
How much money did we make This month to date?,Sales,Total,None,train
What was the total of our net expenses?,Expense,Total,None,train
What was our total income from sushi by katsuyuki in Last 12 months?,Sales,Total,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
Who has the lowest money outstanding?,Invoice,Min,None,test
"In the Last quarter, what has been my lowest revenue from sonnenschein family store?",Sales,Min,None,test
"As of This quarter, how many invoices for cool car remained unpaid?",Invoice,Count,FALSE,train
When was the last time rondonuwu fruit and vegi paid you?,Invoice,Max,TRUE,train
How much has bill's windsurf shop paid us Last year?,Sales,Total,TRUE,train
What's the total number of invoices we've issued to weiskopf consulting?,Invoice,Count,None,train
How much we received from maintenance and repair?,Invoice,Total,None,train
How many shara barnett invoices have yet to be paid?,Invoice,Count,FALSE,test
What was the most recent invoice for pump?,Invoice,Max,None,train
How much credit does kookies by kathy have This fiscal year to date,Sales,Total,FALSE,test
What was the average invoice amount for uncategorized asset in This quarter to date?,Sales,Average,None,train
"In the Last 12 months, what has been my last revenue from pye's cakes?",Sales,Max,None,test
What are my expenses for the This year?,Expense,Total,None,train
What was the average invoice amount for meal and entertainment?,Sales,Average,None,train
"Last fiscal year, what are my AR?",Account Receivables,Total,None,test
kookies by kathy has received how many invoices?,Invoice,Count,None,train
What are my average sales by customer?,Sales,Average,None,train
What was the most recent invoice for concrete?,Invoice,Max,None,train
Show number of transactions with 0969 ocean view road,Invoice,Count,None,train
What are my AP Last quarter?,Account Payable,Total,None,train
What was the first invoice for sprinkler pipe?,Invoice,Min,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
What's the total number of invoices we've issued to shara barnett?,Invoice,Count,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
Who are my outstanding debtors?,Invoice,List,FALSE,train
When did weiskopf consulting first pay?,Invoice,Min,None,train
"This week, how many sprinkler pipes did I sell?",Invoice,Count,None,train
"Last quarter, what are my AR?",Account Receivables,Total,None,test
What were my outgoings during the Last month?,Expense,Total,None,train
What was our total spend for mahoney mugs in the Last month?,Expense,Total,None,train
What are my AP Last 7 days?,Account Payable,Total,None,train
What was our Net Expenses?,Expense,Total,None,train
"As of This week, how many invoices for travis waldron were still unpaid?",Invoice,Count,FALSE,train
Number of invoices created for labor?,Invoice,Count,None,train
"This week to date, what are my account receivable?",Account Receivables,Total,None,train
"In the today, what has been my lowest revenue from paulsen medical supplies?",Sales,Min,None,test
What was the most recent invoice for allowances?,Invoice,Max,None,train
"As of This week to date, how many invoices for 55 twin lane were still outstanding?",Invoice,Count,FALSE,test
What was the max invoice amount for 55 twin lane?,Sales,Max,None,train
Display all transactions involving weiskopf consulting,Invoice,Count,None,test
How much we received from opening balance equity in This month to date?,Invoice,Total,None,train
What were our total payroll expenses Last 12 months?,Expense,Total,None,train
How much have we been spending on computer repair?,Expense,Total,None,train
How much did we pay national eye care the Last 30 days?,Expense,Total,TRUE,train
What were my outgoings during the This quarter?,Expense,Total,None,train
How much did we spend on printing This fiscal year?,Expense,Total,None,train
What are my account payable This month to date?,Account Payable,Total,None,test
"This year, what are my AP?",Account Payable,Total,None,test
What was our greatest expense This year to date?,Expense,Max,None,test
When was the last time mark cho paid you?,Invoice,Max,TRUE,train
How much did I spend Last year?,Expense,Total,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
How much did we pay bob's burger joint the This week?,Expense,Total,TRUE,train
How much money did we make This year to date?,Sales,Total,None,train
What was the total of our net expenses?,Expense,Total,None,train
"As of This month to date, what was our net income?",Sales,Total,None,train
How much we received from uncategorized expense in Last month?,Invoice,Total,None,train
What is mark cho credit for Last 30 days?,Sales,Total,FALSE,train
"This quarter to date, what are my account receivable?",Account Receivables,Total,None,train
"Last 7 days, what are my account payable?",Account Payable,Total,None,test
How much credit does shara barnett have yesterday?,Sales,Total,FALSE,train
What was the max invoice amount for building repair?,Sales,Max,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
How much did we spend on sprinkler and drip system Last quarter?,Expense,Total,None,train
Show how many transactions you've had with geeta kalapatapu,Invoice,Count,None,test
When did 0969 ocean view road last pay?,Invoice,Max,None,train
What was our smallest expense This year to date?,Expense,Min,None,train
"Last 30 days, what was our largest expense?",Expense,Max,None,train
"Last 7 days, how many pest control did I sell?",Invoice,Count,None,train
"In the This week, what has been my first revenue from sushi by katsuyuki?",Sales,Min,None,test
How much money have we paid to national eye care Last fiscal year?,Expense,Total,TRUE,train
How much we received from decks and patios in yesterday?,Invoice,Total,None,train
What is the balance due from sonnenschein family store?,Sales,Total,FALSE,test
"This month to date, what are my AP?",Account Payable,Total,None,test
What is my highest sales for rago travel agency in the Last fiscal year?,Sales,Max,None,test
What are my AP yesterday?,Account Payable,Total,None,train
What are my lowest sales by department?,Sales,Min,None,train
"As of Last 30 days, how many invoices for 55 twin lane were still unpaid?",Invoice,Count,FALSE,train
What are my AP Last 7 days?,Account Payable,Total,None,train
"Last year, how much has kate whelan paid us?",Sales,Total,TRUE,test
What are my AR This fiscal year to date?,Account Receivables,Total,None,train
When did red rock diner last pay?,Invoice,Max,None,train
What was our total income from red rock diner in This week?,Sales,Total,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
How many sonnenschein family store invoices haven't been paid yet?,Invoice,Count,FALSE,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
"In the This fiscal year, how many concrete did I sell?",Invoice,Count,None,train
"In the today, what has been my highest revenue from 0969 ocean view road?",Sales,Max,None,test
"As of This quarter, how many invoices for kookies by kathy were still outstanding?",Invoice,Count,FALSE,test
Whats our monthly spend on tania's nursery?,Expense,Total,None,train
What was the most recent invoice for trimming?,Invoice,Max,None,train
What is the balance due from sonnenschein family store?,Sales,Total,FALSE,test
Who are my outstanding debtors?,Invoice,List,FALSE,train
When did shara barnett first pay?,Invoice,Min,None,train
What was our total income from travis waldron in This year?,Sales,Total,None,train
How many invoices are past due since Last 12 months?,Invoice,Count,FALSE,train
What are my account payable Last 12 months?,Account Payable,Total,None,test
What was the last invoice amount for freeman sporting goods?,Sales,Max,None,train
What's the total number of invoices we've issued wedding planning by whitney?,Invoice,Count,None,train
"Since today, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What was our biggest expense Last fiscal year?,Expense,Max,None,train
How many invoices are still oustanding for john melton as of This fiscal year?,Invoice,Count,FALSE,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
Display the total number of transactions with duke basketball camp,Invoice,Count,None,train
What were our total payroll expenses This year to date?,Expense,Total,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What were my expenses in the This fiscal year to date?,Expense,Total,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
What are my AR Last fiscal year?,Account Receivables,Total,None,train
What was the first invoice for pest control?,Invoice,Min,None,train
"Last fiscal year, what was our largest expense?",Expense,Max,None,train
"Since This month, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What was the average bill I received from tony rondonuwu?,Bill,Average,None,train
What has 0969 ocean view road paid us so far This month?,Sales,Total,TRUE,train
"As of This fiscal year, how many invoices for rondonuwu fruit and vegi were still outstanding?",Invoice,Count,FALSE,test
What is the balance owed by gevelber photography?,Sales,Total,FALSE,test
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
"This fiscal year to date, what are my account payable?",Account Payable,Total,None,test
